dataset,model,macro_f1_mean,macro_f1_std,accuracy,f1_high,precision_high,recall_high,f1_low,precision_low,recall_low,f1_medium,precision_medium,recall_medium
Baseline,RF_no_balance,0.41185375599374724,0.016945895440032617,0.8666313839640116,0.9263435349245863,0.8793438976925215,0.9786509900990099,0.0,0.0,0.0,0.3106796116504854,0.6187845303867403,0.2074074074074074
Baseline,XGB_no_balance,0.4901222244277765,0.09926065951044373,0.8576342947869807,0.919640179910045,0.8920884235020361,0.9489480198019802,0.3333333333333333,0.4,0.2857142857142857,0.3926940639269406,0.5119047619047619,0.31851851851851853
Baseline,RF_SMOTE,0.5056049283259567,0.14582185249568572,0.8597512569462821,0.9206063334834159,0.8939084814922763,0.9489480198019802,0.25,1.0,0.14285714285714285,0.4081172491544532,0.521613832853026,0.3351851851851852
Baseline,XGB_SMOTE,0.5637246693323386,0.1461348153862374,0.8600158772161948,0.9206730769230769,0.8948598130841121,0.948019801980198,0.46153846153846156,0.5,0.42857142857142855,0.41169853768278963,0.5243553008595988,0.3388888888888889
Baseline,RF_class_weights,0.511012493755446,0.1430276766747691,0.8571050542471553,0.9203722854188211,0.880689850155499,0.963799504950495,0.3333333333333333,0.4,0.2857142857142857,0.31402831402831405,0.5147679324894515,0.22592592592592592
Baseline,XGB_class_weights,0.5692237716996117,0.14795133109318964,0.8356708123842286,0.9038073038073038,0.9078988448329691,0.8997524752475248,0.5,0.6,0.42857142857142855,0.4446444644464446,0.43257443082311736,0.45740740740740743
Enriched,RF_no_balance,0.5135391707608346,0.05534377963598596,0.8404363267376966,0.914277439907327,0.8592814371257484,0.9767945544554455,0.3125,0.6481481481481481,0.20588235294117646,0.3209549071618037,0.5654205607476636,0.22407407407407406
Enriched,XGB_no_balance,0.5636837842279772,0.021917502522732456,0.8361237950279046,0.9106244451021012,0.8726602382302893,0.9520420792079208,0.39846743295019155,0.5714285714285714,0.3058823529411765,0.3861271676300578,0.5138461538461538,0.30925925925925923
Enriched,RF_SMOTE,0.5838786081615099,0.024207171439719982,0.8099949264332826,0.8973360336501013,0.9036711641041733,0.8910891089108911,0.42105263157894735,0.4186046511627907,0.4235294117647059,0.42920747996438113,0.41337907375643224,0.4462962962962963
Enriched,XGB_SMOTE,0.5683520464109926,0.03818880051619218,0.8280060882800608,0.9071054599850411,0.878077034462786,0.9381188118811881,0.4261168384879725,0.512396694214876,0.36470588235294116,0.3744493392070485,0.46195652173913043,0.3148148148148148
Enriched,RF_class_weights,0.4885120802526307,0.030226581704144558,0.8320649416539827,0.9078606392168155,0.8489499192245558,0.9755569306930693,0.301255230125523,0.5217391304347826,0.21176470588235294,0.2603719599427754,0.5723270440251572,0.1685185185185185
Enriched,XGB_class_weights,0.5815660172380726,0.02316945532001216,0.808726534753932,0.894663139878637,0.8998435054773083,0.8895420792079208,0.422360248447205,0.4473684210526316,0.4,0.43171806167400884,0.4117647058823529,0.4537037037037037
