comparison,chi2,p_value,significance,model_a_correct_only,model_b_correct_only,n_compared
Baseline: XGB_class_weights vs RF_no_balance,18.735294117647058,1.5017700424113656e-05,***,175,267,3779
Baseline: XGB_class_weights vs XGB_no_balance,12.154302670623146,0.0004897475069570723,***,136,201,3779
Baseline: XGB_class_weights vs RF_SMOTE,7.034883720930233,0.007993706358414676,**,187,243,3779
Baseline: XGB_class_weights vs XGB_SMOTE,5.394495412844036,0.020200365358799766,*,142,185,3779
Baseline: XGB_class_weights vs RF_class_weights,16.27252252252252,5.4853653797648505e-05,***,179,265,3779
Baseline: XGB_class_weights vs RF_SMOTE_weights,7.626760563380282,0.005750850309977573,**,184,242,3779
Baseline: XGB_class_weights vs XGB_SMOTE_weights,7.03125,0.00800994232988006,**,167,121,3779
Baseline: XGB_class_weights vs Stacking_RF_XGB,2.378712871287129,0.12299885210214301,ns,186,218,3779
Enriched: XGB_SMOTE_weights vs RF_no_balance,25.532416502946955,4.350123814500506e-07,***,197,312,3942
Enriched: XGB_SMOTE_weights vs XGB_no_balance,24.39189189189189,7.859880376548389e-07,***,137,233,3942
Enriched: XGB_SMOTE_weights vs RF_SMOTE,0.00199203187250996,0.964400488876858,ns,251,251,3942
Enriched: XGB_SMOTE_weights vs XGB_SMOTE,25.233644859813083,5.078842759687063e-07,***,115,206,3942
Enriched: XGB_SMOTE_weights vs RF_class_weights,15.59251968503937,7.856478408596601e-05,***,209,299,3942
Enriched: XGB_SMOTE_weights vs XGB_class_weights,2.03003003003003,0.15421756010581056,ns,153,180,3942
Enriched: XGB_SMOTE_weights vs RF_SMOTE_weights,0.00199203187250996,0.964400488876858,ns,251,251,3942
Enriched: XGB_SMOTE_weights vs Stacking_RF_XGB,33.563559322033896,6.897287518903283e-09,***,73,163,3942
CROSS: Baseline-best vs Enriched-best (shared 3779),7.613577023498695,0.005793045428546861,**,219,164,3779
CROSS (LOW class only): Baseline-best vs Enriched-best,0.25,0.6170750774519739,ns,2,2,7
