dataset,model,macro_f1_mean,macro_f1_std,accuracy,f1_high,precision_high,recall_high,f1_low,precision_low,recall_low,f1_medium,precision_medium,recall_medium
Baseline,RF_no_balance,0.407957177085888,0.016884444231555034,0.8663667636940989,0.9263157894736842,0.8780487804878049,0.9801980198019802,0.0,0.0,0.0,0.29901269393511987,0.6272189349112426,0.1962962962962963
Baseline,XGB_no_balance,0.436060266428752,0.010646121625976366,0.8592220164064568,0.9208009563658099,0.8904624277456648,0.9532797029702971,0.0,0.0,0.0,0.38739789964994165,0.5236593059936908,0.3074074074074074
Baseline,RF_SMOTE,0.474903660641922,0.10205697954134081,0.8568404339772426,0.9192100538599641,0.8899188876013905,0.9504950495049505,0.2222222222222222,0.5,0.14285714285714285,0.3815028901734104,0.5076923076923077,0.3055555555555556
Baseline,XGB_SMOTE,0.4348411833047279,0.008081792697716401,0.8534003704683779,0.9170673076923077,0.8913551401869159,0.9443069306930693,0.0,0.0,0.0,0.38789237668161436,0.4914772727272727,0.32037037037037036
Baseline,RF_class_weights,0.4290800027685676,0.0652890984414632,0.8647790420746229,0.9255427655544223,0.8746901679977968,0.9826732673267327,0.2222222222222222,0.5,0.14285714285714285,0.2653061224489796,0.6232876712328768,0.1685185185185185
Baseline,XGB_class_weights,0.5493116549588317,0.08011294161132969,0.8420216988621329,0.9077376337416654,0.9098539011501399,0.9056311881188119,0.4,0.375,0.42857142857142855,0.4606946983546618,0.4548736462093863,0.4666666666666667
Baseline,RF_SMOTE_weights,0.5059135422392687,0.09627343581967805,0.857369674517068,0.919605499103407,0.8893063583815028,0.9520420792079208,0.36363636363636365,0.5,0.2857142857142857,0.37660818713450295,0.5111111111111111,0.29814814814814816
Baseline,XGB_SMOTE_weights,0.504268541209381,0.08200254436898997,0.8298491664461498,0.9005447470817121,0.9060444722831194,0.8951113861386139,0.2222222222222222,0.18181818181818182,0.2857142857142857,0.43228699551569505,0.4191304347826087,0.4462962962962963
Baseline,Stacking_RF_XGB,0.524811265111217,0.0,0.8504895474993385,0.915182613945065,0.8933411903358869,0.9381188118811881,0.26666666666666666,0.25,0.2857142857142857,0.3925845147219193,0.47745358090185674,0.3333333333333333
Enriched,RF_no_balance,0.5100074695117007,0.04337696296043785,0.8411973617453069,0.9138080138368406,0.8553696708041014,0.9808168316831684,0.3153153153153153,0.6730769230769231,0.20588235294117646,0.30662983425414364,0.6032608695652174,0.20555555555555555
Enriched,XGB_no_balance,0.5710419697393024,0.03449851800154549,0.8363774733637748,0.9111111111111111,0.874076179647527,0.9514232673267327,0.4247104247104247,0.6179775280898876,0.3235294117647059,0.38171428571428573,0.49850746268656715,0.30925925925925923
Enriched,RF_SMOTE,0.5800075012145566,0.026444721818239515,0.8120243531202436,0.8978328173374613,0.8983890954151177,0.8972772277227723,0.41566265060240964,0.42592592592592593,0.40588235294117647,0.4249084249084249,0.42028985507246375,0.42962962962962964
Enriched,XGB_SMOTE,0.5879320292200013,0.04038623708068001,0.8351090816844241,0.9094170403587444,0.8796992481203008,0.9412128712871287,0.4529616724738676,0.5555555555555556,0.38235294117647056,0.4079382579933848,0.5040871934604905,0.3425925925925926
Enriched,RF_class_weights,0.4929786100312391,0.028120624524990284,0.834855403348554,0.909169177787344,0.8477388279368477,0.9801980198019802,0.3247863247863248,0.59375,0.2235294117647059,0.24963289280469897,0.6028368794326241,0.1574074074074074
Enriched,XGB_class_weights,0.5898046013335583,0.03177453386150535,0.8188736681887366,0.9018821351434743,0.8993846153846153,0.9043935643564357,0.43670886075949367,0.4726027397260274,0.40588235294117647,0.43462246777163904,0.43223443223443225,0.43703703703703706
Enriched,RF_SMOTE_weights,0.5800075012145566,0.026444721818239515,0.8120243531202436,0.8978328173374613,0.8983890954151177,0.8972772277227723,0.41566265060240964,0.42592592592592593,0.40588235294117647,0.4249084249084249,0.42028985507246375,0.42962962962962964
Enriched,XGB_SMOTE_weights,0.5939540541354591,0.02016541056261155,0.8120243531202436,0.8973880597014925,0.901875,0.8929455445544554,0.4583333333333333,0.463855421686747,0.45294117647058824,0.4265232974910394,0.4131944444444444,0.44074074074074077
Enriched,Stacking_RF_XGB,0.5888849813289584,0.0,0.834855403348554,0.912043301759134,0.8871014916642294,0.9384282178217822,0.4458204334365325,0.47058823529411764,0.4235294117647059,0.4087912087912088,0.5027027027027027,0.34444444444444444
