,mean_abs_TP,mean_abs_FN_all,mean_abs_FN_high,mean_abs_FN_med,delta_TP_vs_FN_all,delta_TP_vs_FN_high
num_links_external,0.11461748,0.269431,0.1195191,0.45956314,-0.15481351,-0.0049016178
log_num_divs,0.43682638,0.3293216,0.38975367,0.25267598,0.107504785,0.04707271
ext_css_num_font_weight_bold,0.22728029,0.32889965,0.33116177,0.3260306,-0.10161936,-0.10388148
avg_word_length,0.35801113,0.259882,0.2874827,0.22487622,0.09812912,0.07052842
css_num_colors,0.6269474,0.5308685,0.53491205,0.5257399,0.09607893,0.09203535
ext_css_has_reset,0.42702565,0.3318804,0.36340383,0.2918994,0.095145255,0.06362182
media_type_organization_foundation,0.16823547,0.24352016,0.22311276,0.26940268,-0.07528469,-0.054877296
ratio_images_per_1k_words,0.17341812,0.24278471,0.24341747,0.24198225,-0.06936659,-0.06999935
num_paragraphs,0.16818982,0.23197639,0.2459741,0.21422316,-0.063786566,-0.07778427
external_script_count,0.1372048,0.1952749,0.16921544,0.22832593,-0.05807011,-0.032010645
num_divs,0.23655121,0.17934684,0.21723673,0.13129142,0.057204366,0.019314483
traffic_minimal_traffic,0.082091056,0.1358228,0.122998014,0.15208837,-0.053731747,-0.04090696
has_about_page_link,0.27477702,0.22599563,0.24476999,0.20218426,0.048781395,0.030007035
traffic_medium_traffic,0.14606297,0.1923358,0.17108506,0.21928796,-0.04627283,-0.02502209
log_total_tags,0.1350858,0.09338487,0.10066132,0.084156156,0.041700937,0.034424484
hidden_element_count,0.28305054,0.24172947,0.21551538,0.27497658,0.04132107,0.06753516
css_num_animations,0.10028658,0.059475694,0.050655052,0.07066283,0.040810887,0.04963153
media_type_website,0.1769353,0.21715678,0.22150744,0.21163899,-0.040221483,-0.044572145
trust_score,0.16932113,0.20293066,0.18911529,0.22045259,-0.033609524,-0.019794151
interact_ads_x_hidden,0.025798088,0.059256237,0.051548705,0.06903163,-0.03345815,-0.025750617
ngram_co,0.037460405,0.07090177,0.05989212,0.08486522,-0.03344136,-0.022431716
num_links_total,0.17555204,0.14318994,0.14496893,0.14093366,0.032362103,0.030583113
word_count,0.20006123,0.23118548,0.22574832,0.23808135,-0.03112425,-0.025687084
ext_css_num_css_variables,0.2150972,0.18400823,0.19275501,0.17291465,0.031088978,0.02234219
ad_keyword_count,0.19702186,0.16612752,0.1903476,0.13540936,0.03089434,0.00667426
ad_iframe_count,0.10230536,0.13247353,0.14079669,0.121917285,-0.030168168,-0.03849133
css_uses_universal_selector,0.19304596,0.22243108,0.19684061,0.25488728,-0.02938512,-0.0037946552
ngram_or,0.10981818,0.08121522,0.07305536,0.0915643,0.028602965,0.036762826
ext_css_num_colors,0.46839717,0.44110498,0.41743013,0.47113162,0.027292192,0.050967038
css_max_selector_length,0.084129706,0.111045755,0.07905107,0.15162437,-0.02691605,0.005078636
css_num_font_families,0.10145476,0.07555066,0.07425176,0.07719803,0.025904097,0.027202994
css_uses_web_fonts,0.10064857,0.078203626,0.08299492,0.072126865,0.022444941,0.017653644
ext_css_num_transitions,0.09264896,0.07022553,0.058841143,0.08466428,0.022423431,0.033807818
num_images,0.11817635,0.14034498,0.12490174,0.15993154,-0.022168629,-0.0067253932
css_has_position_fixed,0.2118372,0.19040398,0.18146846,0.20173678,0.02143322,0.030368745
interact_low_text_high_ads,0.07626634,0.09717597,0.102890186,0.08992867,-0.02090963,-0.026623845
ngram_ws,0.13325755,0.11245068,0.09978376,0.12851605,0.020806871,0.03347379
social_media_link_count,0.115395345,0.13553411,0.11957616,0.15577343,-0.020138763,-0.004180819
interact_external_x_empty_links,0.09666114,0.11660088,0.09549908,0.14336412,-0.019939736,0.0011620596
log_num_scripts,0.15463872,0.13493311,0.15456022,0.11004019,0.019705608,7.849932e-05
ngram_dia,0.030737985,0.01241416,0.015037508,0.009086986,0.018323824,0.015700478
ratio_iframes_per_tag,0.070767656,0.08893506,0.08603772,0.092609756,-0.018167406,-0.015270062
ext_css_avg_selector_length,0.21870194,0.23685697,0.26084712,0.20643046,-0.018155023,-0.042145178
num_iframes,0.055287138,0.07338867,0.07707185,0.068717316,-0.018101536,-0.021784715
num_links_nofollow,0.32325363,0.3413104,0.3125303,0.37781197,-0.01805678,0.010723323
max_dom_depth,0.1415074,0.1248976,0.12507932,0.124667145,0.016609803,0.016428083
meta_tag_count,0.39078555,0.37430876,0.37056544,0.3790564,0.01647678,0.0202201
num_tables,0.05581029,0.07226983,0.068783514,0.07669151,-0.016459536,-0.012973223
num_scripts,0.13094614,0.11545767,0.14701316,0.07543609,0.015488476,-0.016067013
css_has_grid,0.09182735,0.07669659,0.07469275,0.07923804,0.015130758,0.0171346
ratio_inline_scripts,0.07442871,0.0894501,0.07167324,0.11199638,-0.015021391,0.0027554706
has_og_tags,0.053616147,0.03879162,0.036704984,0.04143808,0.014824528,0.016911164
ext_css_uses_web_fonts,0.23641089,0.222926,0.22482163,0.22052184,0.01348488,0.011589259
css_num_selectors,0.0209892,0.034221243,0.03815771,0.02922865,-0.013232043,-0.017168509
ngram_ati,0.021064194,0.008063386,0.00956484,0.006159105,0.013000808,0.011499354
num_stylesheets,0.03331409,0.046300955,0.047728904,0.04448988,-0.012986865,-0.014414813
num_inline_styles,0.07119553,0.08395997,0.08600349,0.08136818,-0.012764439,-0.014807962
third_party_script_domains,0.13065895,0.1180855,0.12325026,0.11153507,0.012573451,0.0074086934
ext_css_has_grid,0.086224094,0.07390348,0.06770263,0.08176797,0.012320615,0.018521465
log_sentence_count,0.054341763,0.04271524,0.048723802,0.03509462,0.011626523,0.0056179613
css_num_font_weight_bold,0.07627428,0.06465567,0.06691918,0.061784897,0.011618614,0.009355105
log_ext_css_num_selectors,0.065235086,0.076753035,0.07659221,0.07695701,-0.011517949,-0.011357121
