dataset,model,macro_f1_mean,macro_f1_std,accuracy,f1_high,precision_high,recall_high,f1_low,precision_low,recall_low,f1_medium,precision_medium,recall_medium
Baseline,RF_no_balance,0.40209672656961415,0.01701234725339358,0.8658375231542736,0.926039387308534,0.876069555616892,0.9820544554455446,0.0,0.0,0.0,0.2820143884892086,0.632258064516129,0.1814814814814815
Baseline,XGB_no_balance,0.47030886982219744,0.06286587074256828,0.8647790420746229,0.9241522903033909,0.8897479954180985,0.9613242574257426,0.18181818181818182,0.25,0.14285714285714285,0.3888213851761847,0.5653710247349824,0.2962962962962963
Baseline,RF_SMOTE,0.4949723053187515,0.14261804590174437,0.8568404339772426,0.9190967548975625,0.8894356005788712,0.9508044554455446,0.25,1.0,0.14285714285714285,0.38006952491309387,0.5077399380804953,0.3037037037037037
Baseline,XGB_SMOTE,0.5065183374096265,0.07821596878062474,0.8600158772161948,0.9211866946359005,0.8930854154561302,0.9511138613861386,0.3076923076923077,0.3333333333333333,0.2857142857142857,0.399540757749713,0.525679758308157,0.32222222222222224
Baseline,RF_class_weights,0.4240734150401617,0.06497130884083684,0.8608097380259327,0.9232788798133023,0.8733443708609272,0.979269801980198,0.2,0.3333333333333333,0.14285714285714285,0.2514450867052023,0.5723684210526315,0.16111111111111112
Baseline,XGB_class_weights,0.5578416018023008,0.1390996422313752,0.8383170150833554,0.9049180327868852,0.9133312322722975,0.8966584158415841,0.3076923076923077,0.3333333333333333,0.2857142857142857,0.47017543859649125,0.44666666666666666,0.4962962962962963
Baseline,RF_SMOTE_weights,0.5254725105834935,0.1342735948744353,0.8555173326276793,0.9183368232126832,0.8888245512449334,0.9498762376237624,0.36363636363636365,0.5,0.2857142857142857,0.37398373983739835,0.5015576323987538,0.29814814814814816
Baseline,XGB_SMOTE_weights,0.46058993215246585,0.06722317582477932,0.7861868219105583,0.8707548688234348,0.9074136195907414,0.8369430693069307,0.02702702702702703,0.014925373134328358,0.14285714285714285,0.4169944925255704,0.3625170998632011,0.49074074074074076
Baseline,Stacking_RF_XGB,0.5169026329535821,0.0,0.8520772691188145,0.9155824508320726,0.8957963291888692,0.9362623762376238,0.2222222222222222,0.18181818181818182,0.2857142857142857,0.4129032258064516,0.49230769230769234,0.35555555555555557
Enriched,RF_no_balance,0.5029764743786875,0.04187960778033147,0.8386605783866058,0.9125486241175623,0.8538689673766514,0.9798886138613861,0.3111111111111111,0.6363636363636364,0.20588235294117646,0.28969359331476324,0.5842696629213483,0.1925925925925926
Enriched,XGB_no_balance,0.5703840902917982,0.02447306478585294,0.8340943683409436,0.9094686850697536,0.8739304050199658,0.948019801980198,0.42424242424242425,0.5957446808510638,0.32941176470588235,0.38095238095238093,0.49122807017543857,0.3111111111111111
Enriched,RF_SMOTE,0.5711022371240666,0.023229834457486467,0.808726534753932,0.8971933633121414,0.8992850481815355,0.8951113861386139,0.3987915407854985,0.40993788819875776,0.38823529411764707,0.4148550724637681,0.40602836879432624,0.42407407407407405
Enriched,XGB_SMOTE,0.5785930630543052,0.03823208500244038,0.8333333333333334,0.9095259458651114,0.8801736613603474,0.9409034653465347,0.4305555555555556,0.5254237288135594,0.36470588235294116,0.4004400440044004,0.4932249322493225,0.337037037037037
Enriched,RF_class_weights,0.49772546535413176,0.04030337143292771,0.834855403348554,0.908856035596383,0.8476572958500669,0.9795792079207921,0.34309623430962344,0.5942028985507246,0.2411764705882353,0.24778761061946902,0.6086956521739131,0.15555555555555556
Enriched,XGB_class_weights,0.5858241413620533,0.021979876880521006,0.8138001014713343,0.8988694440142481,0.8998449612403101,0.8978960396039604,0.43450479233226835,0.4755244755244755,0.4,0.4272890484739677,0.4146341463414634,0.44074074074074077
Enriched,RF_SMOTE_weights,0.5711022371240666,0.023229834457486467,0.808726534753932,0.8971933633121414,0.8992850481815355,0.8951113861386139,0.3987915407854985,0.40993788819875776,0.38823529411764707,0.4148550724637681,0.40602836879432624,0.42407407407407405
Enriched,XGB_SMOTE_weights,0.5867476943011877,0.03474669949881142,0.8102486047691527,0.8959501557632399,0.9021329987452948,0.8898514851485149,0.4311377245508982,0.43902439024390244,0.4235294117647059,0.4353982300884956,0.41694915254237286,0.45555555555555555
Enriched,Stacking_RF_XGB,0.5801556811940204,0.0,0.8323186199898529,0.9108702198133093,0.8870967741935484,0.9359529702970297,0.4200626959247649,0.44966442953020136,0.3941176470588235,0.409534127843987,0.4934725848563969,0.35
