group,n,n_high,n_low,n_med,macro_f1,f1_high,f1_low,f1_med,n_low_reliable
usa,2924,2431,109,384,0.605,0.907,0.446,0.461,True
uk,303,269,7,27,0.636,0.929,0.615,0.364,True
canada,288,267,10,11,0.49,0.955,0.333,0.182,True
other,243,140,29,74,0.559,0.689,0.519,0.469,True
australia,40,31,4,5,0.475,0.786,0.286,0.353,False
india,37,19,1,17,0.211,0.419,0.0,0.214,False
france,28,25,1,2,0.306,0.917,0.0,0.0,False
germany,24,19,2,3,0.281,0.842,0.0,0.0,False
netherlands,14,12,2,0,0.278,0.833,0.0,0.0,False
israel,12,5,1,6,0.103,0.308,0.0,0.0,False
ireland,9,8,1,0,0.238,0.714,0.0,0.0,False
italy,8,6,0,2,0.256,0.769,0.0,0.0,False
russia,7,0,3,4,0.095,0.0,0.0,0.286,False
turkey,5,0,0,5,0.296,0.0,0.0,0.889,False
