feature,mean_abs_shap_correct,mean_abs_shap_missed,gap
num_links_external,0.11378911,0.36532325,0.25153413
css_num_colors,0.76423633,0.6151663,0.14907002
ext_css_has_reset,0.6083619,0.4682673,0.14009461
log_num_divs,0.4924292,0.38667217,0.10575703
avg_word_length,0.32214707,0.23459156,0.08755551
traffic_minimal_traffic,0.08126156,0.16407523,0.082813665
hidden_element_count,0.3201237,0.24066256,0.07946114
num_divs,0.2161188,0.14135371,0.074765086
trust_score,0.18604554,0.25415093,0.068105385
interact_low_text_high_ads,0.04680934,0.11410176,0.06729242
media_type_organization_foundation,0.13037656,0.1950787,0.06470214
ext_css_num_font_weight_bold,0.2458494,0.3067174,0.060867995
has_about_page_link,0.32539588,0.26506796,0.060327917
ad_iframe_count,0.098315395,0.15726514,0.058949746
ratio_images_per_1k_words,0.13981679,0.19440189,0.0545851
log_total_tags,0.14336918,0.09029977,0.053069413
media_type_website,0.3760145,0.4255833,0.049568802
max_dom_depth,0.21643847,0.1693692,0.047069266
country_usa,0.47419056,0.52000266,0.0458121
num_paragraphs,0.16853671,0.21413185,0.04559514
log_ad_keyword_count,0.295972,0.25845945,0.03751254
ext_css_num_css_variables,0.20902324,0.17172563,0.037297606
traffic_medium_traffic,0.12663925,0.1625079,0.03586866
css_has_position_fixed,0.23444645,0.19888705,0.0355594
external_script_count,0.14897943,0.18425357,0.035274148
css_num_animations,0.11411709,0.079552755,0.03456434
ngram_co,0.06896153,0.10285504,0.03389351
num_links_total,0.16135937,0.13053991,0.03081946
log_num_scripts,0.13283469,0.102063335,0.030771352
social_media_link_count,0.19551533,0.22550507,0.029989734
css_num_font_families,0.13389204,0.104897946,0.028994098
text_to_html_ratio,0.12399253,0.095887445,0.028105088
ad_keyword_count,0.20581344,0.17772426,0.02808918
num_scripts,0.077540666,0.050340053,0.027200613
country_russia,0.007991026,0.034972046,0.026981018
css_num_css_variables,0.21189547,0.23586991,0.023974448
interact_external_x_empty_links,0.092008054,0.11571464,0.023706585
css_uses_web_fonts,0.08913656,0.065512724,0.023623839
ngram_ws,0.15293199,0.13022417,0.02270782
num_forms,0.12486529,0.10224374,0.022621557
ngram_or,0.090550184,0.06829119,0.022258997
ext_css_num_animations,0.047967553,0.026325895,0.021641659
has_robots_meta,0.07572628,0.09669158,0.0209653
ext_css_num_font_families,0.11799523,0.1384344,0.020439163
country_canada,0.019610573,0.03947482,0.019864246
ratio_iframes_per_tag,0.095334694,0.11510528,0.019770585
trust_deception_ratio,0.0832331,0.063861854,0.019371249
ext_css_num_transitions,0.08470932,0.06585641,0.018852904
clickbait_allcaps_headlines,0.014826519,0.03336523,0.018538712
css_max_selector_length,0.081819855,0.09869836,0.016878508
meta_tag_count,0.40587318,0.38916177,0.016711414
