feature,folds_selected
ad_iframe_count,5
css_avg_selector_length,5
css_has_flexbox,5
css_has_grid,5
css_has_position_fixed,5
css_has_reset,5
css_num_class_selectors,5
css_num_animations,5
css_max_selector_length,5
ext_css_num_colors,5
ext_css_num_css_variables,5
ext_css_num_font_families,5
css_num_font_families,5
css_num_id_selectors,5
css_num_font_weight_bold,5
css_num_selectors,5
css_num_important,5
css_uses_universal_selector,5
css_uses_web_fonts,5
css_total_length,5
css_num_transitions,5
ext_css_has_grid,5
ext_css_has_flexbox,5
ext_css_has_bootstrap,5
ext_css_avg_selector_length,5
ext_css_num_ids,5
ext_css_num_important,5
ext_css_num_animations,5
ext_css_num_font_weight_bold,5
ext_css_has_position_absolute,5
ext_css_has_reset,5
ext_css_num_classes,5
html_length,5
has_meta_description,5
has_og_tags,5
external_script_count,5
ext_css_uses_web_fonts,5
ext_css_uses_universal_selector,5
ext_css_size_bytes,5
ext_css_num_transitions,5
ext_css_num_selectors,5
log_ext_css_num_selectors,5
log_ext_css_size_bytes,5
trust_score,5
log_total_tags,5
log_css_total_length,5
log_num_spans,5
log_num_divs,5
log_num_scripts,5
log_ext_css_num_classes,5
hidden_element_count,5
has_robots_meta,5
num_iframes,5
num_headings,5
num_divs,5
meta_tag_count,5
max_dom_depth,5
num_links_nofollow,5
num_lists,5
num_paragraphs,5
num_links_external,5
ratio_iframes_per_tag,5
third_party_script_domains,5
num_stylesheets,5
num_scripts,5
ratio_inline_scripts,5
ratio_headings_per_paragraph,5
ratio_empty_links,5
css_num_colors,4
num_tables,4
ratio_popups_per_tag,4
interact_external_x_empty_links,4
css_num_css_variables,4
num_links_total,4
num_inline_styles,4
inline_script_count,4
complexity_score,4
num_images,3
num_forms,3
css_has_tailwind,3
internal_link_ratio,2
num_links_empty,2
num_links_internal,2
interact_scripts_x_3rdparty,1
num_inputs,1
css_has_bootstrap,1
css_has_position_absolute,1
has_twitter_tags,1
ext_css_num_imports,1
log_num_links_total,1
log_html_length,1
has_canonical,1
css_num_media_queries,0
ext_css_num_media_queries,0
css_num_imports,0
external_link_ratio,0
total_tags,0
ratio_third_party_scripts,0
unique_tags,0
ratio_scripts_per_tag,0
ratio_external_links,0
num_spans,0
num_videos,0
popup_indicator_count,0
interact_popups_x_iframes,0
